57766	461
57767	361
57768	20
57769	111
57770	493
57771	392
57772	283
57773	458
57774	509
57775	571
57776	347
57777	212
57778	312
57779	622
57780	489
57781	384
57782	551
57783	546
57784	399
57785	258
57786	32
57787	360
57788	352
57789	378
57790	261
57791	58
57792	14
57793	367
57794	8
57795	5
57796	429
57797	217
57798	375
57799	458
57800	505
57801	128
57802	69
57803	326
57804	4
57805	608
57806	485
57807	84
57808	85
57809	253
57810	138
57811	272
57812	234
57813	376
57814	453
57815	332
57816	4
57817	83
57818	304
57819	438
57820	297
57821	37
57822	635
57823	833
57824	275
57825	396
57826	667
57827	681
57828	728
57829	397
57830	84
57831	278
57832	212
57833	376
57834	63
57835	1
57836	30
57837	60
57838	577
57839	418
57840	613
57841	56
57842	93
57843	40
57844	391
57845	344
57846	445
57847	56
57848	88
57849	433
57850	495
57851	169
57852	139
57853	4
57854	716
57855	199
57856	280
57857	110
57858	1
57859	20
57860	237
57861	499
57862	232
57863	20
57864	466
57865	287
57866	258
57867	137
57868	570
57869	467
57870	331
57871	775
57872	91
57873	196
57874	481
57875	123
57876	598
57877	390
57878	669
57879	195
57880	378
57881	676
57882	118
57883	650
57884	823
57885	193
57886	250
57887	252
57888	310
57889	205
57890	547
57891	94
57892	784
57893	369
57894	683
57895	472
57896	617
57897	628
57898	419
57899	414
57900	112
57901	146
57902	159
57903	426
57904	436
57905	31
57906	242
57907	307
57908	95
57909	736
57910	232
57911	56
57912	110
57913	562
57914	178
57915	217
57916	563
57917	448
57918	499
57919	483
57920	829
57921	56
57922	385
57923	86
57924	342
57925	241
57926	56
57927	0
57928	162
57929	50
57930	424
57931	56
57932	650
57933	128
57934	266
57935	265
57936	510
57937	227
57938	307
57939	946
57940	479
57941	58
57942	1
57943	431
57944	676
57945	559
57946	310
57947	114
57948	20
57949	58
57950	341
57951	122
57952	493
57953	582
57954	154
57955	334
57956	1041
57957	807
57958	116
57959	778
57960	607
57961	335
57962	57
57963	56
57964	494
57965	427
57966	335
57967	143
57968	458
57969	48
57970	4
57971	152
57972	205
57973	26
57974	198
57975	222
57976	379
57977	230
57978	104
57979	198
57980	470
57981	149
57982	20
57983	244
57984	4
57985	254
57986	345
57987	12
57988	258
57989	467
57990	333
57991	524
57992	251
57993	665
57994	603
57995	366
57996	313
57997	169
57998	946
57999	190
58000	164
58001	382
58002	294
58003	4
58004	269
58005	156
58006	74
58007	498
58008	361
58009	32
58010	147
58011	440
58012	651
58013	342
58014	596
58015	555
58016	4
58017	775
58018	96
58019	261
58020	460
58021	409
58022	248
58023	509
58024	379
58025	397
58026	291
58027	372
58028	391
58029	193
58030	507
58031	91
58032	316
58033	107
58034	628
58035	558
58036	523
58037	133
58038	636
58039	434
58040	413
58041	115
58042	447
58043	325
58044	68
58045	574
58046	518
58047	12
58048	59
58049	20
58050	155
58051	155
58052	84
58053	120
58054	155
58055	607
58056	710
58057	420
58058	466
58059	448
58060	310
58061	429
58062	233
58063	83
58064	171
58065	299
58066	422
58067	421
58068	436
58069	126
58070	442
58071	400
58072	29
58073	253
58074	366
58075	760
58076	71
58077	56
58078	342
58079	486
58080	259
58081	120
58082	129
58083	531
58084	165
58085	267
58086	21
58087	653
58088	511
58089	321
58090	78
58091	24
58092	706
58093	492
58094	191
58095	568
58096	347
58097	564
58098	24
58099	422
58100	209
58101	306
58102	503
58103	25
58104	122
58105	347
58106	56
58107	443
58108	236
58109	270
58110	221
58111	742
58112	206
58113	112
58114	472
58115	481
58116	199
58117	91
58118	531
58119	319
58120	397
58121	213
58122	698
58123	0
58124	98
58125	291
58126	544
58127	180
58128	427
58129	159
58130	229
58131	1062
58132	211
58133	793
58134	713
58135	169
58136	610
58137	183
58138	831
58139	524
58140	332
58141	35
58142	202
58143	443
58144	312
58145	114
58146	257
58147	254
58148	176
58149	353
58150	250
58151	552
58152	586
58153	491
58154	321
58155	4
58156	447
58157	631
58158	552
58159	250
58160	227
58161	4
58162	193
58163	438
58164	80
58165	134
58166	56
58167	217
58168	145
58169	186
58170	21
58171	35
58172	495
58173	191
58174	134
58175	120
58176	5
58177	428
58178	543
58179	185
58180	22
58181	5
58182	370
58183	311
58184	881
58185	400
58186	312
58187	103
58188	717
58189	267
58190	457
58191	409
58192	171
58193	198
58194	415
58195	623
58196	0
58197	251
58198	325
58199	803
58200	752
58201	103
58202	590
58203	1
58204	76
58205	438
58206	185
58207	157
58208	387
58209	601
58210	472
58211	384
58212	591
58213	98
58214	829
58215	288
58216	377
58217	579
58218	88
58219	110
58220	220
58221	186
58222	50
58223	717
58224	869
58225	4
58226	752
58227	36
58228	386
58229	814
58230	535
58231	932
58232	403
58233	594
58234	453
58235	4
58236	299
58237	158
58238	613
58239	118
58240	311
58241	289
58242	682
58243	0
58244	406
58245	4
58246	353
58247	43
58248	1
58249	297
58250	234
58251	282
58252	8
58253	289
58254	618
58255	72
58256	639
58257	140
58258	304
58259	120
58260	677
58261	252
58262	319
58263	440
58264	104
58265	421
58266	576
58267	179
58268	23
58269	56
58270	482
58271	508
58272	236
58273	612
58274	175
