95385	626
95386	665
95387	524
95388	1
95389	35
95390	559
95391	434
95392	594
95393	264
95394	72
95395	589
95396	803
95397	759
95398	677
95399	1117
95400	163
95401	870
95402	517
95403	709
95404	470
95405	413
95406	400
95407	544
95408	675
95409	593
95410	447
95411	727
95412	643
95413	187
95414	120
95415	427
95416	383
95417	165
95418	74
95419	362
95420	212
95421	101
95422	487
95423	532
95424	325
95425	336
95426	734
95427	426
95428	73
95429	91
95430	296
95431	649
95432	237
95433	222
95434	589
95435	603
95436	683
95437	284
95438	297
95439	156
95440	372
95441	671
95442	475
95443	588
95444	164
95445	10
95446	556
95447	259
95448	161
95449	526
95450	602
95451	487
95452	260
95453	441
95454	222
95455	455
95456	830
95457	532
95458	333
95459	119
95460	102
95461	386
95462	822
95463	56
95464	217
95465	751
95466	530
95467	263
95468	22
95469	411
95470	10
95471	241
95472	134
95473	305
95474	4
95475	1191
95476	209
95477	471
95478	440
95479	416
95480	10
95481	99
95482	252
95483	270
95484	74
95485	443
95486	35
95487	119
95488	408
95489	729
95490	56
95491	167
95492	477
95493	604
95494	534
95495	371
95496	619
95497	337
95498	681
95499	662
95500	634
95501	471
95502	510
95503	299
95504	275
95505	553
95506	678
95507	434
95508	633
95509	457
95510	370
95511	348
95512	580
95513	385
95514	449
95515	92
95516	571
95517	134
95518	167
95519	45
95520	759
95521	263
95522	345
95523	881
95524	442
95525	492
95526	906
95527	417
95528	446
95529	289
95530	244
95531	5
95532	471
95533	719
95534	403
95535	451
95536	529
95537	395
95538	482
95539	413
95540	410
95541	470
95542	98
95543	393
95544	317
95545	514
95546	554
95547	272
95548	715
95549	401
95550	315
95551	86
95552	543
95553	577
95554	331
95555	275
95556	49
95557	503
95558	237
95559	1010
95560	206
95561	258
95562	725
95563	521
95564	527
95565	544
95566	405
95567	379
95568	264
95569	367
95570	387
95571	134
95572	571
95573	203
95574	92
95575	341
95576	198
95577	23
95578	544
95579	433
95580	675
95581	587
95582	379
95583	576
95584	744
95585	294
95586	431
95587	121
95588	658
95589	497
95590	125
95591	416
95592	246
95593	1165
95594	773
95595	587
95596	20
95597	379
95598	631
95599	150
95600	440
95601	366
95602	601
95603	492
95604	359
95605	315
95606	133
95607	505
95608	619
95609	97
95610	84
95611	280
95612	36
95613	523
95614	564
95615	306
95616	442
95617	84
95618	0
95619	484
95620	701
95621	434
95622	386
95623	193
95624	170
95625	10
95626	237
95627	79
95628	0
95629	470
95630	869
95631	545
95632	478
95633	165
95634	100
95635	58
95636	228
95637	880
95638	323
95639	791
95640	400
95641	247
95642	130
95643	940
95644	221
95645	607
95646	10
95647	24
95648	20
95649	293
95650	402
95651	727
95652	701
95653	128
95654	98
95655	20
95656	320
95657	182
95658	532
95659	337
95660	877
95661	165
95662	246
95663	477
95664	240
95665	989
