57242	170
57243	84
57244	218
57245	140
57246	1
57247	34
57248	152
57249	131
57250	11
57251	243
57252	20
57253	528
57254	453
57255	58
57256	246
57257	10
57258	263
57259	0
57260	494
57261	11
57262	239
57263	1
57264	7
57265	4
57266	1
57267	36
57268	36
57269	35
57270	86
57271	185
57272	10
57273	4
57274	165
57275	218
57276	1
57277	58
57278	1
57279	11
57280	10
57281	224
57282	241
57283	20
57284	35
57285	68
57286	138
57287	119
57288	250
57289	47
57290	16
57291	70
57292	186
57293	31
57294	240
57295	104
57296	3
57297	346
57298	196
57299	4
57300	257
57301	11
57302	269
57303	0
57304	4
57305	9
57306	177
57307	326
57308	66
57309	10
57310	75
57311	24
57312	92
57313	10
57314	1
57315	35
57316	35
57317	170
57318	194
57319	41
57320	93
57321	41
57322	101
57323	302
57324	250
57325	68
57326	34
57327	20
57328	193
57329	11
57330	16
57331	74
57332	33
57333	134
57334	31
57335	10
57336	1
57337	6
57338	10
57339	10
57340	20
57341	1
57342	207
57343	164
57344	4
57345	14
57346	12
57347	0
57348	21
57349	98
57350	35
57351	151
57352	72
57353	132
57354	173
57355	10
57356	35
57357	169
57358	270
57359	109
57360	21
57361	4
57362	4
57363	181
57364	66
57365	59
57366	25
57367	4
57368	2
57369	32
57370	10
57371	166
57372	73
57373	0
57374	204
57375	86
57376	101
57377	0
57378	214
57379	50
57380	84
57381	225
57382	10
57383	56
57384	518
57385	226
57386	278
57387	0
57388	92
57389	224
57390	45
57391	21
57392	28
57393	70
57394	20
57395	0
57396	4
57397	33
57398	50
57399	197
57400	131
57401	56
57402	4
57403	150
57404	7
57405	220
57406	20
57407	259
57408	10
57409	361
57410	216
57411	82
57412	567
57413	479
57414	363
57415	68
57416	5
57417	75
57418	10
57419	74
57420	23
57421	56
57422	81
57423	5
57424	298
57425	1
57426	84
57427	20
57428	385
57429	97
57430	129
57431	505
57432	4
57433	1
57434	26
57435	94
57436	16
57437	4
57438	444
57439	9
57440	71
57441	86
57442	4
57443	104
57444	216
57445	39
57446	128
57447	50
57448	194
57449	1
57450	0
57451	269
57452	300
57453	263
57454	160
57455	144
57456	241
57457	5
57458	50
57459	85
57460	0
57461	1
57462	1
57463	4
57464	10
57465	121
57466	133
57467	128
57468	31
57469	4
57470	65
57471	38
57472	5
57473	221
57474	2
57475	102
57476	158
57477	217
57478	4
57479	1
57480	0
57481	35
57482	230
57483	35
57484	0
57485	35
57486	170
57487	130
57488	20
57489	20
57490	203
57491	116
57492	78
57493	122
57494	253
57495	1
57496	23
57497	113
57498	4
57499	10
57500	10
57501	29
57502	35
57503	23
57504	132
57505	11
57506	77
57507	195
57508	101
57509	15
57510	23
57511	10
57512	1
57513	21
57514	35
57515	0
57516	280
57517	305
57518	126
57519	28
57520	186
57521	58
57522	55
57523	20
57524	330
57525	0
57526	124
57527	115
57528	13
57529	35
57530	4
57531	81
57532	0
57533	174
57534	24
57535	80
57536	266
57537	107
57538	20
57539	10
57540	128
57541	13
57542	12
57543	28
57544	74
57545	55
57546	56
57547	58
57548	41
57549	17
57550	2
57551	125
57552	156
57553	10
57554	84
57555	271
57556	129
57557	4
57558	179
57559	14
57560	30
57561	21
57562	10
57563	10
57564	38
57565	44
57566	81
57567	21
57568	35
57569	20
57570	79
57571	101
57572	92
57573	35
57574	35
57575	126
57576	230
57577	10
57578	59
57579	71
57580	79
57581	141
57582	60
57583	1
57584	13
57585	49
57586	30
57587	4
57588	35
57589	10
57590	224
57591	0
57592	257
57593	112
57594	166
57595	181
57596	111
57597	13
57598	1
57599	43
57600	4
57601	133
57602	22
57603	15
57604	10
57605	56
57606	59
57607	115
57608	167
57609	0
57610	36
57611	233
57612	103
57613	0
57614	20
57615	50
57616	194
57617	295
57618	1
57619	112
57620	348
57621	0
57622	0
57623	0
57624	1
57625	207
57626	20
57627	11
57628	4
57629	146
57630	10
57631	165
57632	75
57633	234
57634	35
57635	157
57636	209
57637	196
57638	154
57639	1
57640	35
57641	187
57642	17
57643	0
57644	0
57645	70
57646	74
57647	10
57648	144
57649	101
57650	336
57651	465
57652	332
57653	111
57654	1
57655	73
57656	7
57657	264
57658	0
57659	35
57660	56
57661	84
57662	94
57663	116
57664	4
57665	240
57666	70
57667	12
57668	101
57669	0
57670	46
57671	89
57672	65
57673	240
57674	198
57675	153
57676	281
57677	94
57678	20
57679	128
57680	20
57681	50
57682	453
57683	43
57684	1
57685	35
57686	21
57687	82
57688	10
57689	151
57690	34
57691	115
57692	38
57693	68
57694	34
57695	73
57696	4
57697	134
57698	105
57699	16
57700	65
57701	27
57702	172
57703	80
57704	20
57705	196
57706	10
57707	144
57708	434
57709	365
57710	4
57711	6
57712	3
57713	44
57714	4
57715	90
57716	20
57717	30
57718	55
57719	77
57720	20
57721	10
57722	104
57723	135
57724	21
57725	0
57726	100
57727	39
57728	10
57729	51
57730	22
57731	11
57732	10
57733	120
57734	231
57735	72
57736	0
57737	58
57738	1
57739	0
57740	10
57741	59
57742	5
57743	14
57744	30
57745	230
57746	91
57747	35
57748	1
57749	74
57750	77
57751	341
57752	35
57753	178
57754	35
57755	35
57756	20
57757	319
57758	20
57759	57
57760	85
57761	23
57762	20
57763	88
57764	197
57765	325
