2489,1425
2957,1321
3585,1327
3597,1376
3603,1314
3747,1331
3748,1333
4207,1317
5060,1295
5631,1355
9305,1312
12190,1324
20044,1324
23207,1311
23726,1312
23846,1321
28078,1361
30664,1292
36289,1370
38176,1353
42347,1435
43654,1297
43723,1358
44335,1295
45027,1472
45061,1386
45442,1392
45630,1315
47708,1326
48457,1349
48695,1370
50018,1297
50501,1340
51838,1314
67966,1324
68862,1306
70176,1353
74228,1305
75292,1381
78033,1297
82371,1301
84136,1400
84316,1485
91832,1376
92550,1294
100542,1323
100792,1301
101246,1341
